Grade Number,Class,Unit,Question,Answer
6,sixth science,lesson 13,27) how does the preparation of paper from the two methods of making it with wood and its recycling have an effect on the following?,"a) amount of electricity consumption: in paper recycling, electricity consumption is saved.
b) air pollution: cutting down trees destroys trees and increases air pollution.
c) cost price: the cost of producing paper from wood is much higher than recycling paper.
d) amount of water consumption: in the recycling method, water consumption is much less"
6,sixth science,lesson 13,1. name some examples of equipment used in a paper factory?,"big rollers for paper drying, wood shredders, dough making pots, sieves, etc. what are these devices made of? iron"
6,sixth science,lesson 13,what is the reason for using an iron tank in a paper factory?,for pulp production
6,sixth science,lesson 13,what is the reason for using iron roller in paper factory?,"smoothing paper pulp, thinning paper, making paper resistant"
6,sixth science,lesson 13,what factors have caused iron to be widely used in the production of paper mill equipment?,"it is found in abundance in nature, it is very strong, it can be made into different shapes, it has a high melting point, it can be easily recycled."
6,sixth science,lesson 13,state some properties of iron?,"it rusts quickly in humid air, it is very strong, it is a good conductor of heat, it is found in abundance in nature."
6,sixth science,lesson 3,4. how do seismic waves pass through different rocks of the earth?,seismic waves have an oscillating or vibrating motion. these movements have energy and pass through the stones of the earth at different speeds according to the type and type of stones.
6,sixth science,lesson 3,what is the speed of seismic waves in different materials?,seismic waves in the earth pass faster through hard and dense rocks and slower through soft and less dense rocks.
6,sixth science,lesson 3,what did scientists find out by using changes in the speed of seismic waves in different parts of the earth?,they found out about the characteristics of the inner layers of the earth and in this way they realized that some layers of the earth are made of dense materials and some of less dense materials.
6,sixth science,lesson 3,"on what basis is the earth divided into three layers: crust, mantle and core?",based on the chemical composition and type of ingredients
6,sixth science,lesson 3,the earth is divided into several layers based on the chemical composition and type of ingredients. name them?,"into three layers of shell, mantle, core"
6,sixth science,lesson 3,what materials are inside the shell?,"oil, gas, coal and metal and non-metal mines and underground water table"
6,sixth science,lesson 3,"in which layer of the earth are oil, gas, coal, and underground water reserves located?",shell
6,sixth science,lesson 3,what is the name of the middle layer of the earth that starts from under the crust and continues to the core?,mantle
6,sixth science,lesson 3,what is the name of the layer located in the center of the earth?,core
6,sixth science,lesson 3,"based on the condition of the ingredients of the inner layers of the earth, how many parts are divided?","five layers - butter stone, butter paste, lower mantle, outer core, inner core"
6,sixth science,lesson 13,state how many properties of metals?,"metals are good conductors of electricity, metals have a shiny and shiny surface, have a high melting temperature, all metals except mercury are solid, malleable (that is, they do not break due to impact, but bend and shape)."
6,sixth science,lesson 13,name some examples of metal?,"gold, copper, aluminum, lead"
6,sixth science,lesson 13,how many categories are acids divided into? name?,"2 types, edible and industrial
food such as: lemon, orange, kiwi
industrial like: salt ink, sulfuric acid"
6,sixth science,lesson 13,state the characteristics of industrial acids?,"1. these substances are poisonous, 2. they cannot be touched, 3. they are not edible"
6,sixth science,lesson 13,why should you avoid pouring acidic substances on marble?,because acidic materials react with marble and cause chemical changes and corrosion in it
6,sixth science,lesson 13,14. what is an alloy?,"an alloy is a combination of a metal with one or more other elements, for example, steel is an alloy of iron with carbon"
6,sixth science,lesson 13,15. what are the benefits of material recycling?,"it saves electricity, water, and fuel, reduces costs, and reduces environmental pollution"
6,sixth science,lesson 3,what is the most important method for studying the interior of the earth?,seismic waves
6,sixth science,lesson 3,what are seismic waves?,"an earthquake is caused by the sudden breaking of rocks inside the earth, and the energy released from it reaches the earth's surface in the form of waves, which are called seismic waves."
6,sixth science,lesson 3,what is the epicenter of an earthquake?,the place where the earth's energy is released is called the epicenter
6,sixth science,lesson 3,what is butter stone? (or write the characteristics of the marble section.),"this part includes the crust and the upper solid part of the mantle, the thickness of this part is about 100 km and it moves on the butter paste part"
6,sixth science,lesson 3,state the characteristics of butter dough?,this part of the earth is in a pasty state and starts from under the crust and continues to a depth of about 350 kilometers and the origin of most volcanoes and earthquakes is related to this part.
6,sixth science,lesson 3,how did scientists find out that the outer core is liquid and the inner core is solid?,by using the difference in the speed of seismic waves in different states of the constituent materials of the earth's core
6,sixth science,lesson 3,the movement of pieces of butter stone on the butter dough causes the appearance of which phenomena?,"causing earthquakes, creating mountain ranges, volcanoes, moving the continents of the earth, creating folds, creating tsunamis"
6,sixth science,lesson 3,"if we pour water into a pan and place two pieces of unolite on the water and put a flame under it, what will we see?","over time, the two pieces begin to move and move away from each other. in fact, the heat of the fire causes the water to heat up, the water molecules move more, and the ionolites that are on the water are also moved by the water flow."
6,sixth science,lesson 9,3. about how many mild earthquakes occur in the country annually?,"10,000 mild earthquakes"
6,sixth science,lesson 9,what are the benefits of mild earthquakes?,these earthquakes release the earth's internal energy and prevent the occurrence of larger earthquakes
6,sixth science,lesson 9,why does an earthquake cause more damage at the location of fractures?,"when force is applied to the earth's crust, an earthquake occurs, and as a result, places that have fractures move more easily than other parts, so earthquakes cause more damage in the places of fractures."
6,sixth science,lesson 9,7. what components does the volcano consist of?,"volcanic cone, conduits, crater"
6,sixth science,lesson 9,8. when does the volcano happen?,a volcano occurs when volcanic material reaches the surface of the earth and creates volcanic rocks.
6,sixth science,lesson 9,what causes an earthquake?,an earthquake causes the release of the earth's internal energy.
6,sixth science,lesson 9,when do earthquakes happen?,earthquakes occur when the earth's rock breaks due to forces from within the earth.
6,sixth science,lesson 9,how does an earthquake cause a change in the earth's surface?,the energy resulting from breaking the earth's rock reaches its surface in the form of seismic waves from inside the earth and causes changes in the earth's surface.
6,sixth science,lesson 9,what does a mild earthquake mean?,it means earthquake with low power
6,sixth science,lesson 9,how many mild earthquakes occur in the country every year?,about ten thousand mild earthquakes occur.
6,sixth science,lesson 9,why do people not feel mild earthquakes?,because their strength is very low and it is recorded only by seismographs.
6,sixth science,lesson 9,what are the health effects of an earthquake?,"1- water pollution
2- contamination of some foods
3- the spread of infectious diseases
4- accumulation of garbage in the city
5- the increase of disease-carrying animals"
6,sixth science,lesson 9,describe the construction effects of the earthquake.,"1- demolition of buildings (falling debris)
2- breaking windows
3- breaking the barriers
4- falling electric poles
5- breakdown of elevators and stairs"
6,sixth science,lesson 9,what are the social effects of an earthquake?,"1- loss of loved ones
2- unemployment
3- destruction of historical places
4- destruction of offices and hospitals"
6,sixth science,lesson 9,12. why is the more mild earthquakes the better?,small earthquakes release the earth's internal energy and prevent larger earthquakes from occurring.
6,sixth science,lesson 9,where in the world is the most likely to have an earthquake?,places where the earth's crust has fractures -
6,sixth science,lesson 9,name the humanitarian activities after the earthquake.,"1- helping the injured
2- sending financial and non-financial aid
3- donating blood
4- helping aid workers
5- finding and helping the people left under the rubble"
6,sixth science,lesson 9,what safety precautions should we follow after an earthquake?,"1- building electricity cut off
2- not using the elevator
3- close the main gas valve
4- keeping the streets open
5- being prepared for aftershocks"
6,sixth science,lesson 9,name the most important earthquakes in iran in the last 50 years in terms of location and damage.,"the tabas earthquake in 1957 killed 19,600 people, the rudbar and manjil earthquakes in 1969 killed 35,000 people, the bam earthquake in 1982 killed 41,000 people, and the ahar earthquake in 1991 killed 310 people."
6,sixth science,lesson 9,what is the structure of a volcano?,"every volcano consists of three main parts-
1- volcanic cone 2- ducts 3- crater"
6,sixth science,lesson 9,when does a volcano occur?,when volcanic materials reach the surface of the earth and form volcanic rocks.
6,sixth science,lesson 9,how many categories are the materials released from the crater? name them,. three categories; 1- solid 2- liquid 3- gas
6,sixth science,lesson 9,how many categories are volcanoes divided into in terms of activity? name them.,"three categories: 1- active, 2- semi-active, 3- off"
6,sixth science,lesson 9,what is an active volcano?,"volcanoes that are currently or in recent years have released volcanic materials (solid, liquid and gas) from their craters are called active volcanoes."
6,sixth science,lesson 9,which volcano is semi-active?,a volcano where only gas comes out of its crater.
6,sixth science,lesson 9,how many categories are the materials released from the craters of volcanoes?,three categories of solids: liquid ash: molten gas: carbon dioxide and water vapor
6,sixth science,lesson 9,10. how many categories are volcanoes divided into in terms of activity?,"three categories active, semi-active, off"
6,sixth science,lesson 9,what is an active volcano?,"volcanoes that are currently or in recent years have volcanic materials (solid, liquid, gas) coming out of their craters are called active volcanoes."
6,sixth science,lesson 9,12. what semi-active volcano is called?,"to a volcano that was active in the past, but today only gas comes out of its crater"
6,sixth science,lesson 9,name two semi-active volcanoes?,taftan and damavand
6,sixth science,lesson 9,14. which volcano is called extinct?,volcanoes that do not emit any material from their craters are called dormant volcanoes.
6,sixth science,lesson 9,15. name two extinct volcanoes?,sahand and sablan
6,sixth science,lesson 9,explain the applications of volcanic rocks such as mineral pumice and foot stone?,"mineral pumice: it is used in construction due to its insulation and lightness
pumice stone: sanitary purposes, used as an abrasive in the wood-cutting industry"
6,sixth science,lesson 9,17. what are the most important gases released from the craters of volcanoes?,"carbon dioxide, water vapor"
6,sixth science,lesson 9,what damage does an earthquake cause?,personal and financial damages
6,sixth science,lesson 9,what is called an inactive volcano?,a volcano that has no activity is called an inactive volcano.
6,sixth science,lesson 9,name two semi-active volcanoes and two dormant volcanoes in iran.,"sahand and sablan are silent, damavand and taftan are semi-active"
6,sixth science,lesson 9,what is the use of each of the following volcanic rocks?,"volcanic tuff: it is used in construction.
mineral pumice: it is used as insulation, and because it is light, it is used in building construction.
pedestal: it is used to maintain health."
6,sixth science,lesson 9,what are the most important gases released from the crater?,water vapor and carbon dioxide
6,sixth science,lesson 9,state the benefits of volcanoes.,"1- the formation of a lake
2- tourism development
3- creation of fertile lands
4- use of thermal energy
5- the release of the earth's internal energy
6- the formation of hot springs"
6,sixth science,lesson 9,state the disadvantages of volcanoes.,"1- emission of toxic gases
2- the fall of acid rain
3- creating a tsunami
4- entry of ash and dust into the environment
5- the spread of chemicals in the environment
6- the flow of molten materials and the destruction of lands"
6,sixth science,lesson 9,what safety measures should residents of volcanic areas follow?,"be ready to evacuate the place quickly
take refuge in a safe place
- close all the doors and windows
- staying away from pits when molten material erupts
protecting the body from chemical substances in volcanic ash"
6,sixth science,lesson 4,when does the motion of an object change?,when force is applied to it
6,sixth science,lesson 4,state the effects of force?,"force causes an object to start moving, speed up, slow down, stop and change the direction of movement"
6,sixth science,lesson 4,at least how many objects must interact for force to appear?,two objects
6,sixth science,lesson 4,in what situation do the forces cancel each other out and the body does not move?,when the applied force is equal in two opposite directions
6,sixth science,lesson 4,when does the motion of the object change?,whenever a force is applied to it.
6,sixth science,lesson 4,what is the resultant force?,it is the result of the interaction of two objects.
6,sixth science,lesson 4,how many times can a flea kill its own weight?,more than a hundred thousand times its own weight
6,sixth science,lesson 4,can an object alone apply force?,"no, we need at least two bodies to create force."
6,sixth science,lesson 4,state two characteristics of each force.,1- force has direction 2- force has size.
6,sixth science,lesson 4,how is force measured?,power meter
6,sixth science,lesson 4,why does it tear when we stretch the rubber or rubber band too much?,because the force of our hand is more than the force of rubber or elastic and causes it to tear.
6,sixth science,lesson 4,"in science, what is the equivalent of pushing or pulling?",it is equivalent to applying force or applying force.
6,sixth science,lesson 4,what are the uses of power?,"changing the direction of the force, changing the shape of the force, moving the object, stopping the object and slowing down or speeding up the movement"
6,sixth science,lesson 4,at least how many objects must interact for force to appear?,two objects
6,sixth science,lesson 4,why sometimes the object does not move even though force is applied to it?,because the force applied from both sides of the object is equal.
6,sixth science,lesson 4,when does the object move to one side even though the force is applied from both sides of the object?,when the applied force is more than one side.
6,sixth science,lesson 4,when do forces cancel each other out?,when the forces enter in the opposite direction.
6,sixth science,lesson 4,what is net force?,a force that moves an object.
6,sixth science,lesson 4,what is meant by contact forces?,some forces must come into contact with the body in order to have an effect. these forces are called contact forces.
6,sixth science,lesson 4,"in science, pushing or pulling is equivalent to ………………………………..",applying force or applying force
6,sixth science,lesson 12,what is the gravitational force of the earth?,"the earth exerts a force on all the objects around it and pulls them towards it, this force is called the gravitational force or the force of attraction of the earth."
6,sixth science,lesson 12,what is weight?,the gravitational force exerted by the earth on any object is called the weight of the object
6,sixth science,lesson 12,7. name how many types of forces we have?,"2 types - contact and non-contact forces
contact force such as: air resistance force, friction force, tug-of-war or wrestling
non-contact force such as: gravitational force, magnetic force, electric force"
6,sixth science,lesson 12,8. what is a power unit?,newton
6,sixth science,lesson 12,what is the force that one magnet exerts on another magnet called?,magnetic force
6,sixth science,lesson 12,what is the force that attracts the pieces of paper to the rod or comb called?,electric power
6,sixth science,lesson 12,11. what is friction force?,the force that affects the body against the direction of movement and causes the movement to slow down is called frictional force
6,sixth science,lesson 12,12. what is air resistance?,"when an object moves, a force is exerted on it by the air against the direction of movement of that object, which is called air resistance."
6,sixth science,lesson 12,13. what force is applied to the moving plane?,"lift force, weight, air resistance force, thrust force"
6,sixth science,lesson 12,14. what is lifting force?,"in order for an object to rise into the air, a force equal to or greater than its weight and in the opposite direction must be applied to it. this force is called lifting force."
6,sixth science,lesson 12,15. how does an airplane move upwards?,"airplane wings are designed in such a way that when the airplane is moving, the air above the wing has a higher speed than the air below the wing. this causes a pressure difference at the top and bottom of the wing and creates a net upward force. this force can be greater than the force of gravity on the plane and pull it upwards"
6,sixth science,lesson 12,1. do you know situations where two objects without touching each other apply force to each other?,"- when the poles of the same name of two magnets are close to each other, they exert a repulsive force on each other.
- the gravitational force of the earth pulls objects towards itself.
-when we rub two balloons on our hair and keep them close to each other, they apply electric force to each other."
6,sixth science,lesson 12,why do objects fall to the ground?,because of the force exerted by the earth on every object.
6,sixth science,lesson 12,what is gravitational force?,gravitational force is applied to all objects from the earth and pulls it towards the earth.
6,sixth science,lesson 12,"why when we open the water tap, the water immediately flows to the ground?",earth's gravity pulls water down.
6,sixth science,lesson 12,what is a crime?,the amount of material that makes up an object is called mass.
6,sixth science,lesson 12,how is mass measured?,with scales
6,sixth science,lesson 12,what is the unit of measurement of mass?,kg
6,sixth science,lesson 12,why do the earth and planets revolve around the sun?,due to the force of gravity
6,sixth science,lesson 12,why does the water fall down when we tilt the glass of water?,because of the earth's gravity
6,sixth science,lesson 12,when is the force between two magnets repulsive?,when we bring the same poles of two magnets together.
6,sixth science,lesson 12,what is electric power? give an example.,"the force that causes attraction or repulsion between two objects after rubbing is called electric force. for example, when we rub two balloons separately on a woolen cloth and bring them close to each other, they move away from each other, that is, their electric force is thrust."
6,sixth science,lesson 12,"when you comb your hair with a plastic comb, the comb pulls your hair. why?",there is an electric force between them.
6,sixth science,lesson 12,"if we bring the pregnant shoulder close to the flow of tap water, what will we see?",the water path is diverted to the shoulder.
6,sixth science,lesson 12,why does braking cause the vehicle to slow down and stop quickly?,"due to the frictional force between the wheels and brake pads, as well as the frictional force between the wheels and the ground."
6,sixth science,lesson 12,what is friction force?,a force that slows down the movement of an object. this force is always opposite to the direction of motion of the object.
6,sixth science,lesson 12,in what direction does the friction force affect the object?,usually against the motion of the body
6,sixth science,lesson 12,"if there was no friction and we were moving, what would happen?",we could not settle in one place.
6,sixth science,lesson 12,"rub your palms together. how do you feel, why?",our hands get warm. frictional force creates heat.
6,sixth science,lesson 12,in which mode is the friction force greater?,"the higher the roughness and height of the contact surface between two objects, the greater the friction."
6,sixth science,lesson 12,state three benefits of frictional force.,"- the force of friction between the soles of our feet and the surface of the ground helps us to walk.
- when we pull the matchstick to the body of the matchbox, the force of friction causes the matchstick to heat up and light up.
- when braking the car, the friction force between the wheel and the ground causes the car to stop."
6,sixth science,lesson 12,can friction be harmful?,"yes, in metal wheels, the force of friction between two metals causes them to wear."
6,sixth science,lesson 12,name two non-contact forces.,gravitational force - magnetic force
6,sixth science,lesson 12,write the similarities and differences between magnetic force and gravity.,"similarity: both pull objects towards them.
difference: a magnet only attracts iron objects, but it also has the gravitation of all objects - magnetic force of repulsion. but gravity is just attraction."
6,sixth science,lesson 12,what is air resistance?,it is a resistive force that prevents the movement of an object in the air
6,sixth science,lesson 5,suggest ways to move multi-craft?,using a wheel and an electric motor to move the car and putting a wheel or bearing under the robot's feet and placing an inflatable balloon on a tricycle and placing a magnet in the body of the propeller and moving it with an iron device and finally moving it with a balloon .
6,sixth science,lesson 5,have you ever used an electric motor?,"yes, in toys"
6,sixth science,lesson 5,what is the movement of the electric motor by the battery?,it spins around
6,sixth science,lesson 5,how to make moving crafts using an electric motor and a battery?,we connect the electric motor to the wheel or wheel bar with a belt or elastic.
6,sixth science,lesson 5,"if you don't have an electric motor, what can you use to move your devices?","using magnets, thread, spring, wind and water"
6,sixth science,lesson 5,name a device that converts electrical energy into kinetic energy?,armature
6,sixth science,lesson 5,name some devices in which an electric motor is used?,"fan, cooler, toys,"
6,sixth science,lesson 5,in what way is electrical energy converted into heat energy?,"electric heater, electric samovar, iron, electric water heater"
6,sixth science,lesson 5,what points should students observe when using tools to make crafts?,"repair or replace damaged tools. necessary and sufficient training. each tool is designed for a specific task. use tools that are the right size for the job
to test the sharpness of the cutting tool, use a piece of wood and not your fingers. keep your hands, hair, and clothing away from the sharp edge and rotating parts of the tool.
inspect the opening of the wrench to make sure there is no chipping, abrasion, or cracks. do not use the wrench as a hammer, it may break off and hit your hand. after using the tool, clean it."
6,sixth science,lesson 5,what is an electric motor? by example,"a device that converts electrical energy into mechanical energy is called an electric motor, such as: washing machine, meat grinder, juicer"
6,sixth science,lesson 5,name some vehicles in which an electric motor is used.,"fan, cooler, meat grinder"
6,sixth science,lesson 5,what is an armature?,an armature is a simple electric motor that rotates a small propeller if we connect it to a battery.
6,sixth science,lesson 5,why are electric motors or armatures very useful in manual work?,because of its small size and very easy to use
6,sixth science,lesson 10,what kind of energy does oil have?,chemical
6,sixth science,lesson 10,what kind of energy does the water behind the dam have?,reserve
6,sixth science,lesson 10,"in an electric fan, electrical energy is converted into ………….. energy.",movement
6,sixth science,lesson 10,"in an electric iron, the energy …………… is converted into heat energy.",electric
6,sixth science,lesson 10,the person at the top of the slide has the energy of …………….,reserve
6,sixth science,lesson 5,in which device is electrical energy converted into light energy?,lamp
6,sixth science,lesson 5,"when we light a lamp with a battery, the energy………. to energy………. has become",electric to light
6,sixth science,lesson 5,"to make a radio as a craft, you have converted electrical energy into energy.",audio
6,sixth science,lesson 5,a device that converts electrical energy into mechanical energy. it is called,electric motor
6,sixth science,lesson 5,………….. is used to transfer motion from the electric motor to the gear or propeller.,belt
6,sixth science,lesson 5,i use …….. to open and close the screw.,screwdriver
6,sixth science,lesson 5,a device that converts city electricity into battery electricity ……………. it is called,"adapter, transformer, charger"
6,sixth science,lesson 5,what is an electric motor?,"a device that converts electrical energy into mechanical energy is called an electric motor. washing machine, meat grinder, juicer"
6,sixth science,lesson 5,name two devices at home that have an electric motor,"washing machine, meat grinder, juicer"
6,sixth science,lesson 5,what is an armature? can it be used in making crafts?,"an armature is a simple electric motor that, if we connect it to a battery, turns a small propeller. yes"
6,sixth science,lesson 10,a spring that is stretched has energy ……………….,reserve
6,sixth science,lesson 10,sun energy …………. and it produces energy.,heat - light
6,sixth science,lesson 10,the energy contained in the sugar cube is …………….. which is of the type of energy ……………. is,chemical and storage
6,sixth science,lesson 10,what is the difference between a lamp and a heater in terms of energy conversion?,"the lamp produces light energy and heat energy, but the heater only produces heat energy."
6,sixth science,lesson 10,why is electric energy the most used in daily life?,because this energy is easily transferred and easily converted into other forms of energy.
6,sixth science,lesson 10,batteries store energy in themselves.,chemical
6,sixth science,lesson 10,what do you need energy to do?,"walking - seeing - picking up objects - exercising - writing and... in general, energy is needed to do everything."
6,sixth science,lesson 10,where does food energy come from?,this energy is made by sunlight in green plants and stored in them.
6,sixth science,lesson 10,name the different forms of energy?,kinetic - thermal - optical - sound - nuclear - chemical and electrical
6,sixth science,lesson 10,what is chemical energy?,energy stored in food and fruits and fuels such as oil and natural gas is called chemical energy.
6,sixth science,lesson 10,in what forms can the chemical energy of fuel be converted?,"it can be converted into kinetic energy or heat energy, in fact, when fuel burns, it creates heat and movement."
6,sixth science,lesson 10,what things can store energy?,food - fuel - batteries and explosives
6,sixth science,lesson 10,which devices do you know that work with the help of batteries?,"mobile phone, watch, radio and..."
6,sixth science,lesson 10,does the battery also store energy?,yes
6,sixth science,lesson 10,what energy changes do you observe when you turn on a flashlight or a moving toy?,"in the flashlight, the stored energy of the battery is converted into light, and in the moving toy, the stored energy of the battery is converted into kinetic energy."
6,sixth science,lesson 10,is energy stored in objects? give an example?,"yes, the water behind a dam, a compressed spring, and an object above the ground have energy."
6,sixth science,lesson 10,how is electrical energy obtained from the stored energy behind the water of a dam?,"as the water falls down the waterfall, its energy is gradually converted into kinetic energy, then when the water is poured over the turbine it moves it. the turbine moves the generator and the generator converts the kinetic energy into electricity."
6,sixth science,lesson 10,"can we say that when the rock is far from the ground, energy is stored in it and after it is released, it gradually turns into kinetic energy?",yes
6,sixth science,lesson 10,what energy conversion takes place when an object falls from a height?,the stored energy (gravitational potential) is converted into kinetic energy
6,sixth science,lesson 10,what are the forms of energy?,"energy can be seen in various forms such as kinetic energy, thermal energy, light energy, sound energy, etc., and it can be transformed from one form to another."
6,sixth science,lesson 10,energy is stored in what materials?,"in fuels such as: coal, oil, wood, natural gas, foods that plants make (food), batteries, springs"
6,sixth science,lesson 10,what is the use of fossil fuels?,most of the energy needed to heat homes and drive cars and power plants is provided by fossil fuels.
